Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
430770,ESTEIO,RS,1370.42,2025,1383.5,2025_S2,193,2023,1084.63,1398,768
320060,ARACRUZ,ES,1369.83,2025,1389.33,2025_S2,272,2024,1077.98,1410,813
310730,BOCAIÚVA,MG,1368.0,2025,1374.5,2025_S2,125,2024,1193.3,1380,1012
231020,PARACURU,CE,1367.67,2026,1379.17,2025_S2,136,2024,1144.15,1387,936
270550,MURICI,AL,1362.0,2026,1374.83,2025_S2,71,2025,1319.63,1391,1273
351840,GUARATINGUETÁ,SP,1361.75,2025,1366.83,2025_S2,138,2024,1165.13,1389,917
150405,MÃE DO RIO,PA,1359.33,2026,1381.17,2025_S2,220,2021,1160.9,1396,780
355400,TATUÍ,SP,1356.5,2025,1385.0,2025_S2,132,2024,1157.3,1395,983
290290,BARRA DO CHOÇA,BA,1352.33,2026,1352.33,2026_S1,169,2024,1039.03,1357,802
290650,CANDEIAS,BA,1349.33,2025,1359.33,2025_S2,185,2024,1095.57,1369,836
350160,AMERICANA,SP,1348.0,2025,1350.5,2025_S1,191,2024,1125.43,1383,928
241220,SÃO JOSÉ DE MIPIBU,RN,1348.0,2026,1365.0,2025_S2,177,2024,1133.87,1376,936
290270,BARRA,BA,1347.42,2025,1398.0,2025_S2,487,2025,1233.2,1773,1118
351970,IBIÚNA,SP,1343.08,2025,1348.5,2025_S1,138,2024,1156.68,1373,968
280130,CAPELA,SE,1341.0,2024,1373.83,2024_S1,228,2024,1237.78,1442,1129
315700,SALINAS,MG,1336.08,2025,1346.17,2025_S2,121,2024,1168.42,1362,1007
210170,BARREIRINHAS,MA,1333.33,2025,1345.5,2025_S2,176,2024,1130.05,1356,941
230590,IPUEIRAS,CE,1333.33,2026,1333.33,2026_S1,804,2025,980.02,1349,536
292880,SANTO ESTÊVÃO,BA,1332.0,2026,1333.33,2025_S2,156,2024,1100.32,1350,926
150380,JACUNDÁ,PA,1330.33,2026,1334.5,2025_S2,122,2024,1151.87,1345,987
291465,ITABELA,BA,1329.0,2025,1343.17,2025_S2,89,2024,1199.33,1351,1045
292810,SANTA MARIA DA VITÓRIA,BA,1326.25,2025,1326.33,2025_S1,215,2021,1173.5,1345,859
314870,PEDRA AZUL,MG,1321.0,2026,1325.83,2025_S2,143,2023,1040.22,1334,792
230800,MASSAPÊ,CE,1320.0,2026,1320.0,2026_S1,152,2024,1016.17,1330,815
410765,FAZENDA RIO GRANDE,PR,1317.83,2025,1319.17,2025_S2,222,2024,1060.85,1334,802
230580,IPU,CE,1317.33,2026,1317.33,2026_S1,163,2024,1018.07,1331,836
210570,LAGO DA PEDRA,MA,1310.42,2025,1327.67,2025_S2,125,2024,1171.25,1338,1048
311830,CONSELHEIRO LAFAIETE,MG,1308.33,2025,1321.83,2025_S1,101,2022,1230.22,1340,1111
354260,REGISTRO,SP,1308.08,2025,1310.0,2025_S1,178,2025,1126.27,1433,988
130240,LÁBREA,AM,1307.92,2025,1337.0,2025_S2,239,2024,1051.18,1346,818
211000,SANTA LUZIA,MA,1307.67,2025,1333.0,2025_S2,125,2024,1153.18,1347,1009
320280,ITAPEMIRIM,ES,1307.33,2026,1314.0,2025_S2,217,2023,965.65,1327,654
291210,IBICARAÍ,BA,1304.17,2025,1350.5,2025_S2,577,2025,1109.83,1823,920
411915,PINHAIS,PR,1302.75,2025,1311.33,2025_S2,140,2024,1098.52,1360,884
316250,SÃO JOÃO DEL REI,MG,1302.08,2025,1304.67,2025_S1,79,2022,1192.68,1330,1035
291955,LUÍS EDUARDO MAGALHÃES,BA,1298.0,2025,1318.67,2025_S2,209,2024,1029.35,1338,774
500060,AMAMBAI,MS,1297.33,2026,1297.33,2026_S1,129,2023,1088.03,1315,901
310160,ALFENAS,MG,1291.0,2025,1295.33,2025_S1,112,2022,1144.3,1314,986
314430,NANUQUE,MG,1288.0,2026,1291.67,2025_S2,201,2025,1055.12,1390,880
352480,JALES,SP,1287.17,2025,1293.0,2025_S1,159,2024,1053.4,1349,777
290780,CÍCERO DANTAS,BA,1287.0,2026,1287.0,2026_S1,130,2024,1034.78,1300,855
352390,ITU,SP,1286.92,2025,1287.67,2025_S2,69,2025,1200.38,1320,1084
316930,TRÊS CORAÇÕES,MG,1286.25,2025,1306.67,2025_S1,187,2025,1128.37,1424,937
170550,COLINAS DO TOCANTINS,TO,1285.33,2025,1302.5,2025_S2,152,2024,1071.8,1312,885
130070,BOCA DO ACRE,AM,1282.0,2026,1322.67,2025_S2,278,2025,1015.13,1333,892
240580,JOÃO CÂMARA,RN,1281.67,2026,1281.67,2026_S1,82,2024,1114.88,1290,982
312710,FRUTAL,MG,1281.17,2025,1298.67,2025_S2,94,2023,1160.63,1318,994
291060,ESPLANADA,BA,1280.33,2026,1280.33,2026_S1,122,2024,1067.18,1296,850
314810,PATROCÍNIO,MG,1278.0,2026,1278.0,2026_S1,147,2024,1007.13,1296,831
410370,CAMBÉ,PR,1275.75,2025,1278.33,2025_S2,141,2024,1117.68,1293,939
351110,CATANDUVA,SP,1274.83,2025,1291.0,2025_S2,138,2024,1099.48,1324,933
230428,EUSÉBIO,CE,1274.0,2026,1274.0,2026_S1,155,2024,1007.07,1296,754
