"codigo_estado","codigo_municipio","qtd_membros","cadunico","bpc","pbf"
24,2409209,2660,2660,147,1590
17,1720937,1425,1425,116,740
21,2108207,21024,21024,3029,13829
50,5005806,9306,9306,822,4447
52,5212501,116602,116602,15084,62804
33,3304805,16921,16921,1968,10714
52,5204508,42952,42952,5006,15368
42,4202206,1297,1297,174,463
31,3115201,1896,1896,139,1197
52,5209705,13650,13650,1550,6168
26,2610905,45317,45317,4261,34263
32,3205309,102818,102818,12481,52017
42,4218301,7316,7316,1106,2311
22,2202059,7547,7547,578,5548
21,2101731,8543,8543,980,7251
31,3121704,2253,2253,148,1311
41,4110508,6930,6930,677,2331
52,5222302,3762,3762,371,1824
17,1704600,1330,1330,106,657
31,3108909,5922,5922,852,1662
31,3105301,2340,2340,407,643
52,5215207,2105,2105,188,1048
52,5207907,8395,8395,648,4198
31,3112901,6038,6038,501,3724
43,4314753,673,673,49,37
43,4314548,298,298,35,122
23,2303931,9967,9967,1134,6564
31,3123106,3304,3304,327,1844
31,3119955,3063,3063,317,398
12,1200252,10918,10918,1653,7598
31,3138625,2905,2905,339,1033
15,1506195,19964,19964,1568,14162
32,3203320,25954,25954,3450,14845
22,2201150,8950,8950,412,7227
31,3115409,1635,1635,104,1147
42,4208450,10602,10602,1522,4182
27,2706604,4981,4981,682,3668
23,2305506,61837,61837,10223,38452
29,2919306,7001,7001,526,4971
33,3301702,431114,431114,51286,258225
43,4317202,22190,22190,2741,5673
43,4319703,1302,1302,168,242
29,2908507,20540,20540,1967,13877
31,3111903,2515,2515,228,1105
17,1720101,4652,4652,367,2900
31,3103108,809,809,77,373
35,3518305,14641,14641,1584,7015
31,3152303,6337,6337,622,3906
29,2924058,11300,11300,833,8234
31,3145000,5843,5843,595,2375
41,4108106,1340,1340,133,483
42,4202156,896,896,99,337
41,4105706,8026,8026,1085,3166
52,5205455,4338,4338,471,1998
31,3130101,18316,18316,2380,9819
31,3136801,2946,2946,288,1608
35,3513504,41895,41895,4606,21994
22,2201101,9282,9282,966,6939
31,3113206,10074,10074,1243,4799
25,2501401,7658,7658,662,6079
43,4300604,75929,75929,11087,39527
29,2903276,12577,12577,868,7897
31,3136579,2845,2845,194,1662
31,3151503,14672,14672,2006,6068
27,2709301,42409,42409,7055,28625
31,3145703,1021,1021,181,554
31,3120706,2758,2758,267,1143
52,5207808,4477,4477,526,1995
43,4314308,1793,1793,151,485
29,2909505,3606,3606,458,2196
