Código IBGE,Nome do Municipio,uf,maior_media_anual,ano_maior_media,maior_media_semestral,semestre_maior_media,maior_diferenca_entre_meses,ano_maior_diferença_ano,media_pessoas_geral,max_valor,min_valor
500400,GLÓRIA DE DOURADOS,MS,168.67,2025,172.0,2025_S2,19,2024,155.38,173,139
210745,OLINDA NOVA DO MARANHÃO,MA,168.67,2025,169.67,2025_S2,22,2023,147.94,174,118
410725,DOURADINA,PR,168.43,2026,170.0,2026_S2,14,2024,152.35,174,132
411050,IPIRANGA,PR,168.08,2025,170.17,2025_S2,13,2026,160.23,173,149
351790,GUARACI,SP,168.08,2025,171.5,2025_S1,42,2025,154.04,180,134
290395,BOM JESUS DA SERRA,BA,167.83,2025,168.67,2025_S1,19,2026,155.29,171,134
410775,FIGUEIRA,PR,167.75,2024,169.0,2024_S2,15,2023,158.5,172,131
250330,CACHOEIRA DOS ÍNDIOS,PB,167.5,2025,174.33,2025_S2,35,2024,138.0,176,98
351990,IEPÊ,SP,167.33,2025,167.83,2025_S1,9,2026,163.58,170,155
290450,BROTAS DE MACAÚBAS,BA,167.17,2025,169.0,2025_S2,18,2024,156.17,172,142
430512,CERRITO,RS,167.0,2026,170.0,2026_S2,23,2024,147.33,171,112
241335,SERRA DO MEL,RN,166.71,2026,174.0,2026_S2,28,2024,129.83,174,81
410345,CAFELÂNDIA,PR,166.33,2025,167.67,2025_S2,23,2024,148.83,171,117
220650,MONSENHOR HIPÓLITO,PI,166.29,2026,172.0,2026_S2,20,2024,137.0,172,108
312650,FRANCISCO BADARÓ,MG,166.08,2025,169.67,2025_S2,16,2024,151.06,173,131
430190,BARRA DO RIBEIRO,RS,166.0,2026,179.0,2026_S2,27,2026,140.81,179,115
521910,SANTA BÁRBARA DE GOIÁS,GO,165.71,2026,166.0,2026_S1,19,2024,147.35,170,122
431700,SANTANA DA BOA VISTA,RS,165.33,2025,166.0,2025_S2,11,2023,157.02,169,138
291990,MACURURÉ,BA,165.0,2025,167.0,2025_S2,22,2023,153.85,168,131
411800,PARAÍSO DO NORTE,PR,165.0,2026,165.83,2026_S1,22,2025,137.65,172,114
280420,MONTE ALEGRE DE SERGIPE,SE,164.86,2026,173.0,2026_S2,19,2023,146.98,173,120
510190,BRASNORTE,MT,164.71,2026,165.0,2026_S1,28,2023,129.6,169,81
510550,VILA BELA DA SANTÍSSIMA TRINDADE,MT,164.71,2026,173.0,2026_S2,19,2025,136.5,173,113
150400,LIMOEIRO DO AJURU,PA,164.57,2026,170.0,2026_S2,21,2023,132.12,171,91
250090,ARARA,PB,164.43,2026,167.17,2025_S2,14,2025,152.65,169,142
421370,POUSO REDONDO,SC,164.25,2025,164.5,2025_S2,23,2026,157.98,168,141
411140,IVAÍ,PR,164.17,2025,165.5,2025_S2,16,2026,151.92,171,139
420340,CAMPO BELO DO SUL,SC,163.92,2025,164.5,2025_S1,26,2024,149.52,168,128
312595,FERVEDOURO,MG,163.83,2025,166.67,2025_S2,16,2022,147.75,170,116
270200,COITÉ DO NÓIA,AL,163.71,2026,163.83,2026_S1,22,2024,132.88,165,102
